,lang,ia,ianum,sentnum,trialid,prob_skip,firstfix.dur,firstrun.dur,dur,firstrun.nfix,nfix,prob_refix,prob_reread,trial_sentnum
2926,it,sostanze,211,494,3,0.075,198.725,218.65,279.55,1.05,1.35,0.1,0.25,9
2927,it,dopanti,212,494,3,0.075,199.825,229.525,254.725,1.1,1.225,0.15,0.1,9
2928,it,sia,213,494,3,0.675,66.25,66.25,77.175,0.325,0.375,0.0,0.05,9
2929,sp,Las,214,496,3,0.675,70.1,72.0,81.05,0.35,0.4,0.025,0.05,9
2930,it,contro,214,494,3,0.15,208.725,233.725,286.775,1.0,1.275,0.15,0.225,9
2931,sp,autoridades,215,496,3,0.1,182.2,268.875,461.825,1.425,2.375,0.5,0.475,9
2932,it,lo,215,494,3,0.75,47.975,47.975,58.575,0.25,0.3,0.025,0.025,9
2933,sp,antidopaje,216,496,3,0.05,229.05,409.9,594.0,1.825,2.6,0.7,0.425,9
2934,it,“spirito,216,494,3,0.1,176.65,203.45,237.675,1.15,1.4,0.275,0.2,9
2935,sp,han,217,496,3,0.575,92.375,92.95,115.6,0.45,0.525,0.025,0.075,9
2936,it,sportivo”.,217,494,3,0.025,157.975,539.45,720.425,2.55,3.4,0.8,0.3,9
2937,sp,enfatizado,218,496,3,0.1,223.25,320.4,523.9,1.425,2.45,0.525,0.475,9
2938,sp,de,219,496,3,0.875,22.675,22.675,22.675,0.125,0.125,0.0,0.0,9
2939,sp,manera,220,496,3,0.175,186.5,215.025,257.475,1.0,1.25,0.175,0.25,9
2940,sp,repetida,221,496,3,0.125,180.575,215.6,312.15,1.05,1.45,0.15,0.275,9
2941,sp,que,222,496,3,0.65,73.825,74.425,83.525,0.375,0.425,0.05,0.025,9
2942,sp,el,223,496,3,0.575,103.925,103.925,105.225,0.425,0.45,0.0,0.025,9
2943,sp,uso,224,496,3,0.225,169.0,191.7,234.175,0.9,1.15,0.2,0.175,9
2944,sp,de,225,496,3,0.65,60.9,60.9,66.0,0.35,0.375,0.0,0.025,9
2945,sp,drogas,226,496,3,0.15,176.225,215.175,270.25,1.075,1.35,0.2,0.225,9
2946,sp,para,227,496,3,0.3,96.65,102.15,108.075,0.75,0.8,0.05,0.05,9
2947,sp,la,228,496,3,0.85,21.65,22.925,29.45,0.175,0.2,0.025,0.025,9
2948,sp,mejora,229,496,3,0.1,163.35,203.375,319.75,1.125,1.65,0.3,0.3,9
2949,sp,del,230,496,3,0.45,81.825,81.825,96.6,0.55,0.625,0.0,0.075,9
2950,sp,rendimiento,231,496,3,0.15,174.425,197.25,340.55,1.025,1.675,0.15,0.375,9
2951,sp,va,232,496,3,0.75,45.925,45.925,63.275,0.25,0.325,0.0,0.05,9
2952,sp,en,233,496,3,0.425,129.4,132.85,153.275,0.6,0.7,0.025,0.075,9
2953,sp,contra,234,496,3,0.225,147.025,153.375,213.05,0.825,1.1,0.075,0.175,9
2954,sp,del,235,496,3,0.6,65.075,65.075,86.525,0.4,0.525,0.0,0.125,9
2955,sp,“espíritu,236,496,3,0.125,172.45,197.35,335.825,1.075,1.7,0.275,0.4,9
2956,sp,del,237,496,3,0.575,68.05,68.05,95.925,0.425,0.55,0.025,0.075,9
2957,sp,deporte”.,238,496,3,0.2,169.975,301.775,397.125,1.425,1.875,0.2,0.225,9
2958,en,Anti-,170,68,3,0.125,209.875,251.875,261.75,1.0625,1.125,0.0625,0.0625,10
2959,en,doping,171,68,3,0.25,159.25,159.25,225.9375,0.75,1.0625,0.0,0.25,10
2960,en,authorities,172,68,3,0.125,239.3125,272.5625,306.25,1.125,1.3125,0.25,0.1875,10
2961,en,have,173,68,3,0.4375,109.75,109.75,109.75,0.5625,0.5625,0.0,0.0,10
