,lang,ia,ianum,sentnum,trialid,prob_skip,firstfix.dur,firstrun.dur,dur,firstrun.nfix,nfix,prob_refix,prob_reread,trial_sentnum
0,sp,En,1,0,1,0.2857142857142857,132.14285714285714,132.14285714285714,132.14285714285714,0.7142857142857143,0.7142857142857143,0.0,0.0,1
1,sp,las,2,0,1,0.14285714285714285,186.71428571428572,205.0,205.0,1.0,1.0,0.14285714285714285,0.0,1
2,sp,antiguas,3,0,1,0.0,166.14285714285714,248.71428571428572,756.1428571428571,1.4285714285714286,4.0,0.42857142857142855,0.7142857142857143,1
3,sp,mitología,4,0,1,0.0,269.14285714285717,464.2857142857143,902.2857142857143,1.8571428571428572,4.0,0.7142857142857143,0.7142857142857143,1
4,sp,y,5,0,1,0.5714285714285714,94.85714285714286,94.85714285714286,94.85714285714286,0.42857142857142855,0.42857142857142855,0.0,0.0,1
5,sp,religión,6,0,1,0.14285714285714285,218.0,359.0,672.0,1.5714285714285714,3.2857142857142856,0.5714285714285714,0.7142857142857143,1
6,sp,"romana,",7,0,1,0.0,277.0,438.85714285714283,906.5714285714286,1.2857142857142858,3.0,0.14285714285714285,0.7142857142857143,1
7,sp,Jano,8,0,1,0.0,257.0,272.2857142857143,337.57142857142856,1.1428571428571428,1.4285714285714286,0.14285714285714285,0.2857142857142857,1
8,sp,es,9,0,1,0.14285714285714285,182.57142857142858,182.57142857142858,253.85714285714286,0.8571428571428571,1.1428571428571428,0.0,0.14285714285714285,1
9,sp,el,10,0,1,0.2857142857142857,134.28571428571428,134.28571428571428,186.0,0.7142857142857143,1.0,0.0,0.2857142857142857,1
10,sp,dios,11,0,1,0.14285714285714285,148.71428571428572,148.71428571428572,455.42857142857144,0.8571428571428571,2.142857142857143,0.14285714285714285,0.7142857142857143,1
11,sp,de,12,0,1,0.7142857142857143,55.714285714285715,55.714285714285715,55.714285714285715,0.2857142857142857,0.2857142857142857,0.0,0.0,1
12,sp,los,13,0,1,0.14285714285714285,149.0,149.0,191.57142857142858,0.8571428571428571,1.1428571428571428,0.0,0.2857142857142857,1
13,sp,comienzos,14,0,1,0.0,220.85714285714286,251.57142857142858,638.1428571428571,1.1428571428571428,2.857142857142857,0.2857142857142857,0.8571428571428571,1
14,sp,y,15,0,1,0.8571428571428571,6.714285714285714,6.714285714285714,6.714285714285714,0.14285714285714285,0.14285714285714285,0.0,0.0,1
15,sp,las,16,0,1,0.14285714285714285,170.57142857142858,187.28571428571428,288.57142857142856,1.0,1.5714285714285714,0.14285714285714285,0.42857142857142855,1
16,sp,"puertas,",17,0,1,0.0,284.42857142857144,345.2857142857143,901.5714285714286,1.2857142857142858,2.857142857142857,0.42857142857142855,0.7142857142857143,1
17,sp,Él,18,0,1,0.8571428571428571,28.714285714285715,28.714285714285715,65.42857142857143,0.14285714285714285,0.2857142857142857,0.0,0.14285714285714285,1
18,sp,tiene,19,0,1,0.0,204.71428571428572,369.7142857142857,529.4285714285714,2.0,2.7142857142857144,0.7142857142857143,0.2857142857142857,1
19,sp,una,20,0,1,0.14285714285714285,345.0,345.0,403.2857142857143,0.8571428571428571,1.2857142857142858,0.0,0.14285714285714285,1
20,sp,doble,21,0,1,0.42857142857142855,91.57142857142857,91.57142857142857,139.42857142857142,0.5714285714285714,0.8571428571428571,0.0,0.2857142857142857,1
21,sp,"naturaleza,",22,0,1,0.0,223.14285714285714,479.85714285714283,785.8571428571429,1.8571428571428572,3.142857142857143,0.7142857142857143,0.5714285714285714,1
22,sp,y,23,0,1,0.8571428571428571,13.571428571428571,13.571428571428571,13.571428571428571,0.14285714285714285,0.14285714285714285,0.0,0.0,1
23,sp,generalmente,24,0,1,0.0,250.85714285714286,465.42857142857144,965.1428571428571,1.8571428571428572,3.7142857142857144,0.5714285714285714,0.8571428571428571,1
24,sp,se,25,0,1,0.7142857142857143,62.857142857142854,62.857142857142854,88.0,0.2857142857142857,0.42857142857142855,0.0,0.14285714285714285,1
25,sp,lo,26,0,1,0.42857142857142855,144.0,169.0,321.14285714285717,0.7142857142857143,1.2857142857142858,0.14285714285714285,0.2857142857142857,1
26,sp,representa,27,0,1,0.0,219.85714285714286,371.57142857142856,643.4285714285714,1.7142857142857142,3.0,0.5714285714285714,0.42857142857142855,1
27,sp,con,28,0,1,0.14285714285714285,167.14285714285714,232.0,264.85714285714283,1.1428571428571428,1.2857142857142858,0.2857142857142857,0.14285714285714285,1
28,sp,dos,29,0,1,0.14285714285714285,196.0,227.57142857142858,395.7142857142857,1.0,1.7142857142857142,0.2857142857142857,0.42857142857142855,1
29,sp,"caras,",30,0,1,0.14285714285714285,204.14285714285714,204.14285714285714,385.57142857142856,0.8571428571428571,1.7142857142857142,0.14285714285714285,0.42857142857142855,1
30,sp,ya,31,0,1,0.5714285714285714,169.85714285714286,169.85714285714286,221.85714285714286,0.42857142857142855,0.7142857142857143,0.0,0.14285714285714285,1
31,sp,que,32,0,1,0.14285714285714285,163.85714285714286,191.57142857142858,382.0,1.1428571428571428,2.142857142857143,0.2857142857142857,0.5714285714285714,1
32,sp,él,33,0,1,0.2857142857142857,159.0,159.0,223.14285714285714,0.7142857142857143,1.0,0.0,0.14285714285714285,1
33,sp,mira,34,0,1,0.0,250.28571428571428,272.85714285714283,335.42857142857144,1.1428571428571428,1.4285714285714286,0.14285714285714285,0.2857142857142857,1
34,sp,hacia,35,0,1,0.0,226.0,226.0,308.0,1.0,1.4285714285714286,0.14285714285714285,0.2857142857142857,1
